employee1_id,employee2_id,project_id,communication_frequency,collaboration_strength
3,46,0,15,0.63
3,32,0,29,0.97
46,32,0,31,0.61
11,23,1,27,0.78
11,17,1,25,0.68
23,17,1,15,0.29
21,41,2,33,0.98
21,24,2,23,0.84
21,11,2,22,0.35
21,38,2,26,0.18
21,0,2,5,0.58
41,24,2,16,0.29
41,11,2,38,0.22
41,38,2,30,0.72
41,0,2,13,0.18
24,11,2,26,0.17
24,38,2,34,0.24
24,0,2,21,0.35
11,38,2,5,0.18
11,0,2,39,0.27
38,0,2,19,0.58
33,28,3,30,0.65
33,46,3,49,0.4
33,4,3,37,0.11
28,46,3,25,0.24
28,4,3,8,0.87
46,4,3,34,0.26
44,17,4,48,0.28
44,8,4,44,0.83
17,8,4,5,0.22
46,49,5,6,0.59
46,45,5,44,0.31
49,45,5,43,0.21
49,24,6,15,0.96
49,39,6,44,0.63
49,16,6,12,0.48
49,8,6,30,0.95
24,39,6,16,0.92
24,16,6,44,0.56
24,8,6,29,0.33
39,16,6,44,0.88
39,8,6,16,0.19
16,8,6,8,0.81
11,44,7,33,0.62
11,43,7,26,0.3
11,47,7,25,0.56
11,4,7,21,0.96
11,3,7,24,0.47
11,29,7,32,0.58
44,43,7,44,0.55
44,47,7,5,0.38
44,4,7,34,0.77
44,3,7,23,0.41
44,29,7,34,0.27
43,47,7,49,0.44
43,4,7,20,0.61
43,3,7,22,0.36
43,29,7,6,0.58
47,4,7,34,0.6
47,3,7,8,0.26
47,29,7,33,0.17
4,3,7,7,0.44
4,29,7,14,0.91
3,29,7,38,0.47
5,40,8,6,0.43
5,8,8,16,0.85
5,11,8,41,0.47
5,47,8,34,0.43
5,30,8,48,0.3
40,8,8,26,0.8
40,11,8,21,0.88
40,47,8,27,0.82
40,30,8,21,0.54
8,11,8,21,0.34
8,47,8,44,0.73
8,30,8,29,0.33
11,47,8,26,0.85
11,30,8,8,0.22
47,30,8,33,0.25
29,47,9,38,0.46
29,44,9,28,0.94
29,19,9,9,0.54
29,8,9,40,0.59
29,15,9,23,0.64
29,23,9,47,0.86
47,44,9,49,0.24
47,19,9,13,0.79
47,8,9,13,0.17
47,15,9,21,0.47
47,23,9,47,0.64
44,19,9,29,0.32
44,8,9,7,0.17
44,15,9,48,0.73
44,23,9,34,0.1
19,8,9,16,0.42
19,15,9,48,0.83
19,23,9,21,0.96
8,15,9,16,0.59
8,23,9,28,0.78
15,23,9,35,0.83
43,12,10,43,0.38
43,3,10,8,0.81
43,48,10,29,0.76
43,23,10,37,0.9
43,26,10,46,0.89
43,4,10,6,0.12
12,3,10,46,0.99
12,48,10,17,0.58
12,23,10,36,0.94
12,26,10,43,0.11
12,4,10,33,0.79
3,48,10,33,0.13
3,23,10,48,0.66
3,26,10,48,0.99
3,4,10,14,0.18
48,23,10,43,0.57
48,26,10,5,0.31
48,4,10,7,0.52
23,26,10,34,0.87
23,4,10,22,0.31
26,4,10,29,0.35
34,27,11,22,0.73
34,39,11,28,0.91
34,30,11,39,0.3
34,22,11,29,0.63
34,46,11,18,0.87
34,43,11,15,0.89
27,39,11,7,0.35
27,30,11,33,0.9
27,22,11,29,0.87
27,46,11,46,0.83
27,43,11,44,0.94
39,30,11,15,0.18
39,22,11,28,0.33
39,46,11,42,0.33
39,43,11,9,0.14
30,22,11,22,0.17
30,46,11,17,0.91
30,43,11,17,0.87
22,46,11,44,0.89
22,43,11,33,0.92
46,43,11,7,0.41
46,2,12,10,0.36
46,28,12,11,0.59
46,38,12,36,0.86
2,28,12,32,0.67
2,38,12,34,0.78
28,38,12,26,0.94
15,4,13,32,0.76
15,42,13,20,0.87
15,29,13,24,0.46
15,7,13,9,0.99
15,40,13,5,0.39
4,42,13,42,0.31
4,29,13,39,0.13
4,7,13,29,0.74
4,40,13,22,0.88
42,29,13,20,0.59
42,7,13,29,0.88
42,40,13,12,0.79
29,7,13,11,0.66
29,40,13,48,0.13
7,40,13,7,0.27
15,2,14,45,0.42
15,4,14,37,0.84
2,4,14,30,0.46
29,22,15,36,0.55
29,0,15,22,0.12
29,34,15,23,0.31
22,0,15,36,0.59
22,34,15,7,0.17
0,34,15,39,0.3
38,22,16,18,0.56
38,15,16,29,0.7
22,15,16,43,0.25
31,6,17,30,0.14
31,17,17,39,0.51
31,40,17,9,0.19
31,12,17,18,0.72
6,17,17,24,0.99
6,40,17,28,0.72
6,12,17,38,0.39
17,40,17,33,0.88
17,12,17,35,0.33
40,12,17,47,0.54
23,48,18,17,0.8
23,27,18,17,0.36
23,42,18,15,0.89
23,6,18,42,0.39
23,45,18,42,0.49
48,27,18,38,0.79
48,42,18,45,0.39
48,6,18,49,0.84
48,45,18,28,0.37
27,42,18,11,0.11
27,6,18,19,0.67
27,45,18,11,0.61
42,6,18,23,0.45
42,45,18,29,0.64
6,45,18,36,0.44
33,19,19,8,0.94
33,41,19,26,0.28
33,40,19,18,0.54
33,49,19,31,0.94
33,0,19,32,0.59
19,41,19,20,0.18
19,40,19,34,0.74
19,49,19,17,0.47
19,0,19,29,0.57
41,40,19,11,0.71
41,49,19,14,0.82
41,0,19,35,0.74
40,49,19,46,0.27
40,0,19,40,0.48
49,0,19,11,0.83
